OBS., TOWN#, TRACT, LON, LAT, MEDV, CMEDV, CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT
1902, 1, 2021, -70.950000, 42.287500, 21.6, 21.6, 0.02731, 0.0, 7.07, 0, 0.469, 6.421, 78.9, 4.9671, 2, 242, 17.8, 396.90, 9.14
1903, 1, 2022, -70.936000, 42.283000, 34.7, 34.7, 0.02729, 0.0, 7.07, 0, 0.469, 7.185, 61.1, 4.9671, 2, 242, 17.8, 392.83, 4.03
1904, 2, 2031, -70.928000, 42.293000, 33.4, 33.4, 0.03237, 0.0, 2.18, 0, 0.458, 6.998, 45.8, 6.0622, 3, 222, 18.7, 394.63, 2.94
1905, 2, 2032, -70.922000, 42.298000, 36.2, 36.2, 0.06905, 0.0, 2.18, 0, 0.458, 7.147, 54.2, 6.0622, 3, 222, 18.7, 396.90, 5.33
1906, 2, 2033, -70.916500, 42.304000, 28.7, 28.7, 0.02985, 0.0, 2.18, 0, 0.458, 6.430, 58.7, 6.0622, 3, 222, 18.7, 394.12, 5.21
1907, 3, 2041, -70.936000, 42.297000, 22.9, 22.9, 0.08829, 12.5, 7.87, 0, 0.524, 6.012, 66.6, 5.5605, 5, 311, 15.2, 395.60, 12.43
1908, 3, 2042, -70.937500, 42.310000, 27.1, 22.1, 0.14455, 12.5, 7.87, 0, 0.524, 6.172, 96.1, 5.9505, 5, 311, 15.2, 396.90, 19.15
1909, 3, 2043, -70.933000, 42.312000, 16.5, 16.5, 0.21124, 12.5, 7.87, 0, 0.524, 5.631, 100.0, 6.0821, 5, 311, 15.2, 386.63, 29.93
1910, 3, 2044, -70.929000, 42.316000, 18.9, 18.9, 0.17004, 12.5, 7.87, 0, 0.524, 6.004, 85.9, 6.5921, 5, 311, 15.2, 386.71, 17.10
1911, 3, 2045, -70.935000, 42.316000, 15.0, 15.0, 0.22489, 12.5, 7.87, 0, 0.524, 6.377, 94.3, 6.3467, 5, 311, 15.2, 392.52, 20.45
1912, 3, 2046, -70.944000, 42.317000, 18.9, 18.9, 0.11747, 12.5, 7.87, 0, 0.524, 6.009, 82.9, 6.2267, 5, 311, 15.2, 396.90, 13.27
1913, 3, 2047, -70.951000, 42.306000, 21.7, 21.7, 0.09378, 12.5, 7.87, 0, 0.524, 5.889, 39.0, 5.4509, 5, 311, 15.2, 390.50, 15.71
1914, 4, 2051, -70.964500, 42.292000, 20.4, 20.4, 0.62976, 0.0, 8.14, 0, 0.538, 5.949, 61.8, 4.7075, 4, 307, 21.0, 396.90, 8.26
1915, 4, 2052, -70.972000, 42.287000, 18.2, 18.2, 0.63796, 0.0, 8.14, 0, 0.538, 6.096, 84.5, 4.4619, 4, 307, 21.0, 380.02, 10.26
1916, 4, 2053, -70.976500, 42.294000, 19.9, 19.9, 0.62739, 0.0, 8.14, 0, 0.538, 5.834, 56.5, 4.4986, 4, 307, 21.0, 395.62, 8.47
1917, 4, 2054, -70.987000, 42.298500, 23.1, 23.1, 1.05393, 0.0, 8.14, 0, 0.538, 5.935, 29.3, 4.4986, 4, 307, 21.0, 386.85, 6.58
1918, 4, 2055, -70.978000, 42.285000, 17.5, 17.5, 0.78420, 0.0, 8.14, 0, 0.538, 5.990, 81.7, 4.2579, 4, 307, 21.0, 386.75, 14.67
1919, 4, 2056, -70.992500, 42.282500, 20.2, 20.2, 0.80271, 0.0, 8.14, 0, 0.538, 5.456, 36.6, 3.7965, 4, 307, 21.0, 288.99, 11.69
1920, 4, 2057, -70.988000, 42.277600, 18.2, 18.2, 0.72580, 0.0, 8.14, 0, 0.538, 5.727, 69.5, 3.7965, 4, 307, 21.0, 390.95, 11.28
1921, 4, 2058, -70.983500, 42.277000, 13.6, 13.6, 1.25179, 0.0, 8.14, 0, 0.538, 5.570, 98.1, 3.7979, 4, 307, 21.0, 376.57, 21.02
1922, 4, 2059, -70.982000, 42.281000, 19.6, 19.6, 0.85204, 0.0, 8.14, 0, 0.538, 5.965, 89.2, 4.0123, 4, 307, 21.0, 392.53, 13.83
1923, 4, 2060, -70.977500, 42.279000, 15.2, 15.2, 1.23247, 0.0, 8.14, 0, 0.538, 6.142, 91.7, 3.9769, 4, 307, 21.0, 396.90, 18.72
1924, 4, 2061, -70.973000, 42.279000, 14.5, 14.5, 0.98843, 0.0, 8.14, 0, 0.538, 5.813, 100.0, 4.0952, 4, 307, 21.0, 394.54, 19.88
1925, 4, 2062, -70.969300, 42.281600, 15.6, 15.6, 0.75026, 0.0, 8.14, 0, 0.538, 5.924, 94.1, 4.3996, 4, 307, 21.0, 394.33, 16.30
1926, 4, 2063, -70.964000, 42.284000, 13.9, 13.9, 0.84054, 0.0, 8.14, 0, 0.538, 5.599, 85.7, 4.4546, 4, 307, 21.0, 303.42, 16.51
1927, 4, 2064, -70.959700, 42.287000, 16.6, 16.6, 0.67191, 0.0, 8.14, 0, 0.538, 5.813, 90.3, 4.6820, 4, 307, 21.0, 376.88, 14.81
1928, 4, 2065, -70.959700, 42.282500, 14.8, 14.8, 0.95577, 0.0, 8.14, 0, 0.538, 6.047, 88.8, 4.4534, 4, 307, 21.0, 306.38, 17.28
1929, 4, 2066, -70.957000, 42.280000, 18.4, 18.4, 0.77299, 0.0, 8.14, 0, 0.538, 6.495, 94.4, 4.4547, 4, 307, 21.0, 387.94, 12.80
1930, 4, 2067, -70.951000, 42.278000, 21.0, 21.0, 1.00245, 0.0, 8.14, 0, 0.538, 6.674, 87.3, 4.2390, 4, 307, 21.0, 380.23, 11.98
1931, 4, 2068, -70.967000, 42.279000, 12.7, 12.7, 1.13081, 0.0, 8.14, 0, 0.538, 5.713, 94.1, 4.2330, 4, 307, 21.0, 360.17, 22.60
1932, 4, 2069, -70.964000, 42.276500, 14.5, 14.5, 1.35472, 0.0, 8.14, 0, 0.538, 6.072, 100.0, 4.1750, 4, 307, 21.0, 376.73, 13.04
1933, 4, 2070, -70.972000, 42.276500, 13.2, 13.2, 1.38799, 0.0, 8.14, 0, 0.538, 5.950, 82.0, 3.9900, 4, 307, 21.0, 232.60, 27.71
1934, 4, 2071, -70.979500, 42.276000, 13.1, 13.1, 1.15172, 0.0, 8.14, 0, 0.538, 5.701, 95.0, 3.7872, 4, 307, 21.0, 358.77, 18.35
1935, 4, 2072, -70.977500, 42.272000, 13.5, 13.5, 1.61282, 0.0, 8.14, 0, 0.538, 6.096, 96.9, 3.7598, 4, 307, 21.0, 248.31, 20.34
1936, 5, 2081, -71.000000, 42.270000, 18.9, 18.9, 0.06417, 0.0, 5.96, 0, 0.499, 5.933, 68.2, 3.3603, 5, 279, 19.2, 396.90, 9.68
1937, 5, 2082, -71.008000, 42.274500, 20.0, 20.0, 0.09744, 0.0, 5.96, 0, 0.499, 5.841, 61.4, 3.3779, 5, 279, 19.2, 377.56, 11.41
1938, 5, 2083, -71.004000, 42.286500, 21.0, 21.0, 0.08014, 0.0, 5.96, 0, 0.499, 5.850, 41.5, 3.9342, 5, 279, 19.2, 396.90, 8.77
1939, 5, 2084, -71.020000, 42.287500, 24.7, 24.2, 0.17505, 0.0, 5.96, 0, 0.499, 5.966, 30.2, 3.8473, 5, 279, 19.2, 393.43, 10.13
1940, 6, 2091, -71.013000, 42.313000, 30.8, 30.8, 0.02763, 75.0, 2.95, 0, 0.428, 6.595, 21.8, 5.4011, 3, 252, 18.3, 395.63, 4.32
1941, 6, 2092, -71.030000, 42.324000, 34.9, 34.9, 0.03359, 75.0, 2.95, 0, 0.428, 7.024, 15.8, 5.4011, 3, 252, 18.3, 395.62, 1.98
1942, 7, 2101, -71.004000, 42.335000, 26.6, 26.6, 0.12744, 0.0, 6.91, 0, 0.448, 6.770, 2.9, 5.7209, 3, 233, 17.9, 385.41, 4.84
1943, 7, 2102, -71.003000, 42.323500, 25.3, 25.3, 0.14150, 0.0, 6.91, 0, 0.448, 6.169, 6.6, 5.7209, 3, 233, 17.9, 383.37, 5.81
1944, 7, 2103, -70.977500, 42.323700, 24.7, 24.7, 0.15936, 0.0, 6.91, 0, 0.448, 6.211, 6.5, 5.7209, 3, 233, 17.9, 394.46, 7.44
1945, 7, 2104, -70.967500, 42.317000, 21.2, 21.2, 0.12269, 0.0, 6.91, 0, 0.448, 6.069, 40.0, 5.7209, 3, 233, 17.9, 389.39, 9.55
1946, 7, 2105, -70.972500, 42.307500, 19.3, 19.3, 0.17142, 0.0, 6.91, 0, 0.448, 5.682, 33.8, 5.1004, 3, 233, 17.9, 396.90, 10.21
1947, 7, 2106, -70.965000, 42.307500, 20.0, 20.0, 0.18836, 0.0, 6.91, 0, 0.448, 5.786, 33.3, 5.1004, 3, 233, 17.9, 396.90, 14.15
1948, 7, 2107, -70.956000, 42.312500, 16.6, 16.6, 0.22927, 0.0, 6.91, 0, 0.448, 6.030, 85.5, 5.6894, 3, 233, 17.9, 392.74, 18.80
1949, 7, 2108, -70.955000, 42.316500, 14.4, 14.4, 0.25387, 0.0, 6.91, 0, 0.448, 5.399, 95.3, 5.8700, 3, 233, 17.9, 396.90, 30.81
1950, 7, 2109, -70.952500, 42.320800, 19.4, 19.4, 0.21977, 0.0, 6.91, 0, 0.448, 5.602, 62.0, 6.0877, 3, 233, 17.9, 396.90, 16.20
1951, 8, 2111, -70.951000, 42.334000, 19.7, 19.7, 0.08873, 21.0, 5.64, 0, 0.439, 5.963, 45.7, 6.8147, 4, 243, 16.8, 395.56, 13.45
1952, 8, 2112, -70.963000, 42.338200, 20.5, 20.5, 0.04337, 21.0, 5.64, 0, 0.439, 6.115, 63.0, 6.8147, 4, 243, 16.8, 393.97, 9.43
1953, 8, 2113, -70.958000, 42.346000, 25.0, 25.0, 0.05360, 21.0, 5.64, 0, 0.439, 6.511, 21.1, 6.8147, 4, 243, 16.8, 396.90, 5.28
1954, 8, 2114, -70.978000, 42.342500, 23.4, 23.4, 0.04981, 21.0, 5.64, 0, 0.439, 5.998, 21.4, 6.8147, 4, 243, 16.8, 396.90, 8.43
1955, 9, 2121, -71.017500, 42.371500, 18.9, 18.9, 0.01360, 75.0, 4, 0, 0.41, 5.888, 47.6, 7.3197, 3, 469, 21.1, 396.90, 14.80
1956, 10, 2141, -70.962500, 42.381000, 35.4, 35.4, 0.01311, 90.0, 1.22, 0, 0.403, 7.249, 21.9, 8.6966, 5, 226, 17.9, 395.93, 4.81
1957, 11, 2151, -70.930000, 42.374000, 24.7, 24.7, 0.02055, 85.0, 0.74, 0, 0.41, 6.383, 35.7, 9.1876, 2, 313, 17.3, 396.90, 5.77
1958, 12, 2161, -70.929500, 42.371500, 31.6, 31.6, 0.01432, 100.0, 1.32, 0, 0.411, 6.816, 40.5, 8.3248, 5, 256, 15.1, 392.90, 3.95
1959, 13, 2171, -70.938500, 42.346000, 23.3, 23.3, 0.15445, 25.0, 5.13, 0, 0.453, 6.145, 29.2, 7.8148, 8, 284, 19.7, 390.68, 6.86
1960, 13, 2172, -70.940000, 42.332000, 19.6, 19.6, 0.10328, 25.0, 5.13, 0, 0.453, 5.927, 47.2, 6.9320, 8, 284, 19.7, 396.90, 9.22
1961, 13, 2173, -70.930000, 42.337000, 18.7, 18.7, 0.14932, 25.0, 5.13, 0, 0.453, 5.741, 66.2, 7.2254, 8, 284, 19.7, 395.11, 13.15
1962, 13, 2174, -70.930000, 42.327500, 16.0, 16.0, 0.17171, 25.0, 5.13, 0, 0.453, 5.966, 93.4, 6.8185, 8, 284, 19.7, 378.08, 14.44
1963, 13, 2175, -70.921500, 42.332000, 22.2, 22.2, 0.11027, 25.0, 5.13, 0, 0.453, 6.456, 67.8, 7.2255, 8, 284, 19.7, 396.90, 6.73
1964, 13, 2176, -70.907500, 42.339000, 25.0, 25.0, 0.12650, 25.0, 5.13, 0, 0.453, 6.762, 43.4, 7.9809, 8, 284, 19.7, 395.58, 9.50
1965, 14, 2181, -70.860000, 42.345000, 33.0, 33.0, 0.01951, 17.5, 1.38, 0, 0.4161, 7.104, 59.5, 9.2229, 3, 216, 18.6, 393.24, 8.05
1966, Reading, 15, 3301, -71.045000, 42.345000, 23.5, 23.5, 0.03584, 80.0, 3.37, 0, 0.398, 6.290, 17.8, 6.6115, 4, 337, 16.1, 396.90, 4.67
1967, Reading, 15, 3302, -71.069000, 42.352500, 19.4, 19.4, 0.04379, 80.0, 3.37, 0, 0.398, 5.787, 31.1, 6.6115, 4, 337, 16.1, 396.90, 10.24
1968, 16, 3311, -71.090000, 42.336200, 22.0, 22.0, 0.05789, 12.5, 6.07, 0, 0.409, 5.878, 21.4, 6.4980, 4, 345, 18.9, 396.21, 8.10
1969, 16, 3312, -71.108000, 42.340000, 17.4, 17.4, 0.13554, 12.5, 6.07, 0, 0.409, 5.594, 36.8, 6.4980, 4, 345, 18.9, 396.90, 13.09
1970, 16, 3313, -71.111000, 42.327000, 20.9, 20.9, 0.12816, 12.5, 6.07, 0, 0.409, 5.885, 33.0, 6.4980, 4, 345, 18.9, 396.90, 8.79
1971, 17, 3321, -71.121000, 42.316000, 24.2, 24.2, 0.08826, 0.0, 10.81, 0, 0.413, 6.417, 6.6, 5.2873, 4, 305, 19.2, 383.73, 6.72
1972, 17, 3322, -71.109500, 42.300800, 21.7, 21.7, 0.15876, 0.0, 10.81, 0, 0.413, 5.961, 17.5, 5.2873, 4, 305, 19.2, 376.94, 9.88
1973, 17, 3323, -71.130000, 42.305000, 22.8, 22.8, 0.09164, 0.0, 10.81, 0, 0.413, 6.065, 7.8, 5.2873, 4, 305, 19.2, 390.91, 5.52
1974, 17, 3324, -71.123000, 42.292000, 23.4, 23.4, 0.19539, 0.0, 10.81, 0, 0.413, 6.245, 6.2, 5.2873, 4, 305, 19.2, 377.17, 7.54
1975, 18, 3331, -71.110500, 42.289000, 24.1, 24.1, 0.07896, 0.0, 12.83, 0, 0.437, 6.273, 6.0, 4.2515, 5, 398, 18.7, 394.92, 6.78
1976, 18, 3332, -71.100000, 42.287500, 21.4, 21.4, 0.09512, 0.0, 12.83, 0, 0.437, 6.286, 45.0, 4.5026, 5, 398, 18.7, 383.23, 8.94
1977, 18, 3333, -71.090000, 42.283500, 20.0, 20.0, 0.10153, 0.0, 12.83, 0, 0.437, 6.279, 74.5, 4.0522, 5, 398, 18.7, 373.66, 11.97
1978, 18, 3334, -71.076000, 42.289500, 20.8, 20.8, 0.08707, 0.0, 12.83, 0, 0.437, 6.140, 45.8, 4.0905, 5, 398, 18.7, 386.96, 10.27
1979, 18, 3335, -71.090500, 42.295000, 21.2, 21.2, 0.05646, 0.0, 12.83, 0, 0.437, 6.232, 53.7, 5.0141, 5, 398, 18.7, 386.40, 12.34
1980, 18, 3336, -71.091000, 42.305000, 20.3, 20.3, 0.08387, 0.0, 12.83, 0, 0.437, 5.874, 36.6, 4.5026, 5, 398, 18.7, 396.06, 9.10
1981, 19, 3341, -71.068500, 42.308000, 28.0, 28.0, 0.04113, 25.0, 4.86, 0, 0.426, 6.727, 33.5, 5.4007, 4, 281, 19.0, 396.90, 5.29
1982, 19, 3342, -71.069000, 42.315000, 23.9, 23.9, 0.04462, 25.0, 4.86, 0, 0.426, 6.619, 70.4, 5.4007, 4, 281, 19.0, 395.63, 7.22
1983, 19, 3343, -71.067500, 42.326000, 24.8, 24.8, 0.03659, 25.0, 4.86, 0, 0.426, 6.302, 32.2, 5.4007, 4, 281, 19.0, 396.90, 6.72
1984, 19, 3344, -71.057500, 42.317000, 22.9, 22.9, 0.03551, 25.0, 4.86, 0, 0.426, 6.167, 46.7, 5.4007, 4, 281, 19.0, 390.64, 7.51
1985, 20, 3351, -71.043000, 42.307500, 23.9, 23.9, 0.05059, 0.0, 4.49, 0, 0.449, 6.389, 48.0, 4.7794, 3, 247, 18.5, 396.90, 9.62
1986, 20, 3352, -71.050000, 42.300000, 26.6, 26.6, 0.05735, 0.0, 4.49, 0, 0.449, 6.630, 56.1, 4.4377, 3, 247, 18.5, 392.30, 6.53
1987, 20, 3353, -71.033000, 42.305000, 22.5, 22.5, 0.05188, 0.0, 4.49, 0, 0.449, 6.015, 45.1, 4.4272, 3, 247, 18.5, 395.99, 12.86
1988, 20, 3354, -71.039000, 42.288500, 22.2, 22.2, 0.07151, 0.0, 4.49, 0, 0.449, 6.121, 56.8, 3.7476, 3, 247, 18.5, 395.15, 8.44
1989, 21, 3361, -71.042000, 42.279600, 23.6, 23.6, 0.05660, 0.0, 3.41, 0, 0.489, 7.007, 86.3, 3.4217, 2, 270, 17.8, 396.90, 5.50
1990, 21, 3362, -71.034500, 42.278500, 28.7, 28.7, 0.05302, 0.0, 3.41, 0, 0.489, 7.079, 63.1, 3.4145, 2, 270, 17.8, 396.06, 5.70
1991, 21, 3363, -71.030000, 42.272000, 22.6, 22.6, 0.04684, 0.0, 3.41, 0, 0.489, 6.417, 66.1, 3.0923, 2, 270, 17.8, 392.18, 8.81
1992, 21, 3364, -71.042500, 42.271500, 22.0, 22.0, 0.03932, 0.0, 3.41, 0, 0.489, 6.405, 73.9, 3.0921, 2, 270, 17.8, 393.55, 8.20
1993, 22, 3371, -71.053000, 42.283000, 22.9, 22.9, 0.04203, 28.0, 15.04, 0, 0.464, 6.442, 53.6, 3.6659, 4, 270, 18.2, 395.01, 8.16
1994, 22, 3372, -71.062000, 42.296000, 25.0, 25.0, 0.02875, 28.0, 15.04, 0, 0.464, 6.211, 28.9, 3.6659, 4, 270, 18.2, 396.33, 6.21
1995, 22, 3373, -71.061500, 42.284000, 20.6, 20.6, 0.04294, 28.0, 15.04, 0, 0.464, 6.249, 77.3, 3.6150, 4, 270, 18.2, 396.90, 10.59
1996, 23, 3381, -71.076000, 42.277500, 28.4, 28.4, 0.12204, 0.0, 2.89, 0, 0.445, 6.625, 57.8, 3.4952, 2, 276, 18.0, 357.98, 6.65
1997, 23, 3382, -71.085000, 42.277500, 21.4, 21.4, 0.11504, 0.0, 2.89, 0, 0.445, 6.163, 69.6, 3.4952, 2, 276, 18.0, 391.83, 11.34
1998, 23, 3383, -71.089000, 42.271500, 38.7, 38.7, 0.12083, 0.0, 2.89, 0, 0.445, 8.069, 76.0, 3.4952, 2, 276, 18.0, 396.90, 4.21
1999, 23, 3384, -71.098200, 42.268500, 43.8, 43.8, 0.08187, 0.0, 2.89, 0, 0.445, 7.820, 36.9, 3.4952, 2, 276, 18.0, 393.53, 3.57
2000, 23, 3385, -71.080000, 42.268000, 33.2, 33.2, 0.06860, 0.0, 2.89, 0, 0.445, 7.416, 62.5, 3.4952, 2, 276, 18.0, 396.90, 6.19
2001, 24, 3391, -71.066800, 42.254500, 27.5, 27.5, 0.14866, 0.0, 8.56, 0, 0.52, 6.727, 79.9, 2.7778, 5, 384, 20.9, 394.76, 9.42
2002, 24, 3392, -71.081000, 42.245000, 26.5, 26.5, 0.11432, 0.0, 8.56, 0, 0.52, 6.781, 71.3, 2.8561, 5, 384, 20.9, 395.58, 7.67
2003, 24, 3393, -71.081200, 42.251500, 18.6, 18.6, 0.22876, 0.0, 8.56, 0, 0.52, 6.405, 85.4, 2.7147, 5, 384, 20.9, 70.80, 10.63
2004, 24, 3394, -71.077000, 42.249000, 19.3, 19.3, 0.21161, 0.0, 8.56, 0, 0.52, 6.137, 87.4, 2.7147, 5, 384, 20.9, 394.47, 13.44
2005, 24, 3395, -71.069000, 42.248000, 20.1, 20.1, 0.13960, 0.0, 8.56, 0, 0.52, 6.167, 90.0, 2.4210, 5, 384, 20.9, 392.69, 12.33
2006, 24, 3396, -71.066200, 42.242500, 19.5, 19.5, 0.13262, 0.0, 8.56, 0, 0.52, 5.851, 96.7, 2.1069, 5, 384, 20.9, 394.05, 16.47
2007, 24, 3397, -71.062200, 42.243100, 19.5, 19.5, 0.17120, 0.0, 8.56, 0, 0.52, 5.836, 91.9, 2.2110, 5, 384, 20.9, 395.67, 18.66
2008, 24, 3398, -71.055300, 42.246500, 20.4, 20.4, 0.13117, 0.0, 8.56, 0, 0.52, 6.127, 85.2, 2.1224, 5, 384, 20.9, 387.69, 14.09
2009, 24, 3399, -71.055000, 42.250500, 19.8, 19.8, 0.12802, 0.0, 8.56, 0, 0.52, 6.474, 97.1, 2.4329, 5, 384, 20.9, 395.24, 12.27
2010, 24, 3400, -71.060000, 42.254000, 19.4, 19.4, 0.26363, 0.0, 8.56, 0, 0.52, 6.229, 91.2, 2.5451, 5, 384, 20.9, 391.23, 15.55
2011, 24, 3401, -71.056000, 42.260500, 21.7, 21.7, 0.10793, 0.0, 8.56, 0, 0.52, 6.195, 54.4, 2.7778, 5, 384, 20.9, 393.49, 13.00
2012, 25, 3411, -71.047500, 42.261000, 22.8, 22.8, 0.10084, 0.0, 10.01, 0, 0.547, 6.715, 81.6, 2.6775, 6, 432, 17.8, 395.59, 10.16
2013, 25, 3412, -71.049000, 42.253000, 18.8, 18.8, 0.12329, 0.0, 10.01, 0, 0.547, 5.913, 92.9, 2.3534, 6, 432, 17.8, 394.95, 16.21
2014, 25, 3413, -71.042800, 42.258000, 18.7, 18.7, 0.22212, 0.0, 10.01, 0, 0.547, 6.092, 95.4, 2.5480, 6, 432, 17.8, 396.90, 17.09
2015, 25, 3414, -71.039600, 42.251200, 18.5, 18.5, 0.14231, 0.0, 10.01, 0, 0.547, 6.254, 84.2, 2.2565, 6, 432, 17.8, 388.74, 10.45
2016, 25, 3415, -71.035500, 42.254500, 18.3, 18.3, 0.17134, 0.0, 10.01, 0, 0.547, 5.928, 88.2, 2.4631, 6, 432, 17.8, 344.91, 15.76
2017, 25, 3416, -71.036000, 42.260800, 21.2, 21.2, 0.13158, 0.0, 10.01, 0, 0.547, 6.176, 72.5, 2.7301, 6, 432, 17.8, 393.30, 12.04
2018, 25, 3417, -71.028500, 42.262000, 19.2, 19.2, 0.15098, 0.0, 10.01, 0, 0.547, 6.021, 82.6, 2.7474, 6, 432, 17.8, 394.51, 10.30
2019, 25, 3418, -71.028500, 42.258000, 20.4, 20.4, 0.13058, 0.0, 10.01, 0, 0.547, 5.872, 73.1, 2.4775, 6, 432, 17.8, 338.63, 15.37
2020, 25, 3419, -71.019000, 42.260500, 19.3, 19.3, 0.14476, 0.0, 10.01, 0, 0.547, 5.731, 65.2, 2.7592, 6, 432, 17.8, 391.50, 13.61
2021, 26, 3421, -71.024300, 42.248300, 22.0, 22.0, 0.06899, 0.0, 25.65, 0, 0.581, 5.870, 69.7, 2.2577, 2, 188, 19.1, 389.15, 14.37
2022, 26, 3422, -71.031200, 42.250500, 20.3, 20.3, 0.07165, 0.0, 25.65, 0, 0.581, 6.004, 84.1, 2.1974, 2, 188, 19.1, 377.67, 14.27
2023, 26, 3423, -71.037700, 42.247000, 20.5, 20.5, 0.09299, 0.0, 25.65, 0, 0.581, 5.961, 92.9, 2.0869, 2, 188, 19.1, 378.09, 17.93
2024, 26, 3424, -71.037000, 42.243500, 17.3, 17.3, 0.15038, 0.0, 25.65, 0, 0.581, 5.856, 97.0, 1.9444, 2, 188, 19.1, 370.31, 25.41
2025, 26, 3425, -71.030800, 42.245000, 18.8, 18.8, 0.09849, 0.0, 25.65, 0, 0.581, 5.879, 95.8, 2.0063, 2, 188, 19.1, 379.38, 17.58
2026, 26, 3426, -71.026200, 42.243100, 21.4, 21.4, 0.16902, 0.0, 25.65, 0, 0.581, 5.986, 88.4, 1.9929, 2, 188, 19.1, 385.02, 14.81
2027, 26, 3427, -71.033300, 42.239500, 15.7, 15.7, 0.38735, 0.0, 25.65, 0, 0.581, 5.613, 95.6, 1.7572, 2, 188, 19.1, 359.29, 27.26
2028, 27, 3501, -71.053000, 42.235500, 16.2, 16.2, 0.25915, 0.0, 21.89, 0, 0.624, 5.693, 96.0, 1.7883, 4, 437, 21.2, 392.11, 17.19
2029, 27, 3502, -71.058000, 42.235000, 18.0, 18.0, 0.32543, 0.0, 21.89, 0, 0.624, 6.431, 98.8, 1.8125, 4, 437, 21.2, 396.90, 15.39
2030, 27, 3503, -71.063800, 42.236800, 14.3, 14.3, 0.88125, 0.0, 21.89, 0, 0.624, 5.637, 94.7, 1.9799, 4, 437, 21.2, 396.90, 18.34
