OBS., TOWN#, TRACT, LON, LAT, MEDV, CMEDV, CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT
2031, 27, 3504, -71.069200, 42.239000, 19.2, 19.2, 0.34006, 0.0, 21.89, 0, 0.624, 6.458, 98.9, 2.1185, 4, 437, 21.2, 395.04, 12.60
2032, 27, 3505, -71.075000, 42.240000, 19.6, 19.6, 1.19294, 0.0, 21.89, 0, 0.624, 6.326, 97.7, 2.2710, 4, 437, 21.2, 396.90, 12.26
2033, 27, 3506, -71.074500, 42.240500, 23.0, 23.0, 0.59005, 0.0, 21.89, 0, 0.624, 6.372, 97.9, 2.3274, 4, 437, 21.2, 385.76, 11.12
2034, 27, 3507, -71.079000, 42.245000, 18.4, 18.4, 0.32982, 0.0, 21.89, 0, 0.624, 5.822, 95.4, 2.4699, 4, 437, 21.2, 388.69, 15.03
2035, 27, 3508, -71.076000, 42.240500, 15.6, 15.6, 0.97617, 0.0, 21.89, 0, 0.624, 5.757, 98.4, 2.3460, 4, 437, 21.2, 262.76, 17.31
2036, 27, 3509, -71.075000, 42.236200, 18.1, 18.1, 0.55778, 0.0, 21.89, 0, 0.624, 6.335, 98.2, 2.1107, 4, 437, 21.2, 394.67, 16.96
2037, 27, 3510, -71.067700, 42.233500, 17.4, 17.4, 0.32264, 0.0, 21.89, 0, 0.624, 5.942, 93.5, 1.9669, 4, 437, 21.2, 378.25, 16.90
2038, 27, 3511, -71.063000, 42.232500, 17.1, 17.1, 0.35233, 0.0, 21.89, 0, 0.624, 6.454, 98.4, 1.8498, 4, 437, 21.2, 394.08, 14.59
2039, 27, 3512, -71.062000, 42.227500, 13.3, 13.3, 0.24980, 0.0, 21.89, 0, 0.624, 5.857, 98.2, 1.6686, 4, 437, 21.2, 392.04, 21.32
2040, 27, 3513, -71.056800, 42.230000, 17.8, 17.8, 0.54452, 0.0, 21.89, 0, 0.624, 6.151, 97.9, 1.6687, 4, 437, 21.2, 396.90, 18.46
2041, 27, 3514, -71.051800, 42.231200, 14.0, 14.0, 0.29090, 0.0, 21.89, 0, 0.624, 6.174, 93.6, 1.6119, 4, 437, 21.2, 388.08, 24.16
2042, 27, 3515, -71.054300, 42.226500, 14.4, 14.4, 1.62864, 0.0, 21.89, 0, 0.624, 5.019, 100.0, 1.4394, 4, 437, 21.2, 396.90, 34.41
2043, 28, 3521, -71.048000, 42.222200, 13.4, 13.4, 3.32105, 0.0, 19.58, 1, 0.871, 5.403, 100.0, 1.3216, 5, 403, 14.7, 396.90, 26.82
2044, 28, 3522, -71.051900, 42.223000, 15.6, 15.6, 4.09740, 0.0, 19.58, 0, 0.871, 5.468, 100.0, 1.4118, 5, 403, 14.7, 396.90, 26.42
2045, 28, 3523, -71.051000, 42.220500, 11.8, 11.8, 2.77974, 0.0, 19.58, 0, 0.871, 4.903, 97.8, 1.3459, 5, 403, 14.7, 396.90, 29.29
2046, 28, 3524, -71.054000, 42.219000, 13.8, 13.8, 2.37934, 0.0, 19.58, 0, 0.871, 6.130, 100.0, 1.4191, 5, 403, 14.7, 172.91, 27.80
2047, 28, 3525, -71.059000, 42.221000, 15.6, 15.6, 2.15505, 0.0, 19.58, 0, 0.871, 5.628, 100.0, 1.5166, 5, 403, 14.7, 169.27, 16.65
2048, 28, 3526, -71.055500, 42.222200, 14.6, 14.6, 2.36862, 0.0, 19.58, 0, 0.871, 4.926, 95.7, 1.4608, 5, 403, 14.7, 391.71, 29.53
2049, 28, 3527, -71.056700, 42.224000, 17.8, 17.8, 2.33099, 0.0, 19.58, 0, 0.871, 5.186, 93.8, 1.5296, 5, 403, 14.7, 356.99, 28.32
2050, 28, 3528, -71.058000, 42.223000, 15.4, 15.4, 2.73397, 0.0, 19.58, 0, 0.871, 5.597, 94.9, 1.5257, 5, 403, 14.7, 351.85, 21.45
2051, 28, 3529, -71.062000, 42.223600, 21.5, 21.5, 1.65660, 0.0, 19.58, 0, 0.871, 6.122, 97.3, 1.6180, 5, 403, 14.7, 372.80, 14.10
2052, 28, 3530, -71.062200, 42.220500, 19.6, 19.6, 1.49632, 0.0, 19.58, 0, 0.871, 5.404, 100.0, 1.5916, 5, 403, 14.7, 341.60, 13.28
2053, 28, 3531, -71.059000, 42.217000, 15.3, 15.3, 1.12658, 0.0, 19.58, 1, 0.871, 5.012, 88.0, 1.6102, 5, 403, 14.7, 343.28, 12.12
2054, 28, 3532, -71.064500, 42.215000, 19.4, 19.4, 2.14918, 0.0, 19.58, 0, 0.871, 5.709, 98.5, 1.6232, 5, 403, 14.7, 261.95, 15.79
2055, 28, 3533, -71.066200, 42.216200, 17.0, 17.0, 1.41385, 0.0, 19.58, 1, 0.871, 6.129, 96.0, 1.7494, 5, 403, 14.7, 321.02, 15.12
2056, 28, 3534, -71.068000, 42.215000, 15.6, 15.6, 3.53501, 0.0, 19.58, 1, 0.871, 6.152, 82.6, 1.7455, 5, 403, 14.7, 88.01, 15.02
2057, 28, 3535, -71.066700, 42.220000, 13.1, 13.1, 2.44668, 0.0, 19.58, 0, 0.871, 5.272, 94.0, 1.7364, 5, 403, 14.7, 88.63, 16.14
2058, 28, 3536, -71.069000, 42.228500, 41.3, 41.3, 1.22358, 0.0, 19.58, 0, 0.605, 6.943, 97.4, 1.8773, 5, 403, 14.7, 363.43, 4.59
2059, 28, 3537, -71.067000, 42.224500, 24.3, 24.3, 1.34284, 0.0, 19.58, 0, 0.605, 6.066, 100.0, 1.7573, 5, 403, 14.7, 353.89, 6.43
2060, 28, 3538, -71.065000, 42.222300, 23.3, 23.3, 1.42502, 0.0, 19.58, 0, 0.871, 6.510, 100.0, 1.7659, 5, 403, 14.7, 364.31, 7.39
2061, 28, 3539, -71.070000, 42.221400, 27.0, 27.0, 1.27346, 0.0, 19.58, 1, 0.605, 6.250, 92.6, 1.7984, 5, 403, 14.7, 338.92, 5.50
2062, 28, 3540, -71.073500, 42.228200, 50.0, 50.0, 1.46336, 0.0, 19.58, 0, 0.605, 7.489, 90.8, 1.9709, 5, 403, 14.7, 374.43, 1.73
2063, 28, 3541, -71.077000, 42.225000, 50.0, 50.0, 1.83377, 0.0, 19.58, 1, 0.605, 7.802, 98.2, 2.0407, 5, 403, 14.7, 389.61, 1.92
2064, 28, 3542, -71.081500, 42.225000, 50.0, 50.0, 1.51902, 0.0, 19.58, 1, 0.605, 8.375, 93.9, 2.1620, 5, 403, 14.7, 388.45, 3.32
2065, 28, 3543, -71.091800, 42.226500, 22.7, 22.7, 2.24236, 0.0, 19.58, 0, 0.605, 5.854, 91.8, 2.4220, 5, 403, 14.7, 395.11, 11.64
2066, 28, 3544, -71.082000, 42.229500, 25.0, 25.0, 2.92400, 0.0, 19.58, 0, 0.605, 6.101, 93.0, 2.2834, 5, 403, 14.7, 240.16, 9.81
2067, 28, 3545, -71.077000, 42.230500, 50.0, 50.0, 2.01019, 0.0, 19.58, 0, 0.605, 7.929, 96.2, 2.0459, 5, 403, 14.7, 369.30, 3.70
2068, 28, 3546, -71.086600, 42.234500, 23.8, 23.8, 1.80028, 0.0, 19.58, 0, 0.605, 5.877, 79.2, 2.4259, 5, 403, 14.7, 227.61, 12.14
2069, 28, 3547, -71.074000, 42.233100, 23.8, 23.8, 2.30040, 0.0, 19.58, 0, 0.605, 6.319, 96.1, 2.1000, 5, 403, 14.7, 297.09, 11.10
2070, 28, 3548, -71.077500, 42.235100, 22.3, 22.3, 2.44953, 0.0, 19.58, 0, 0.605, 6.402, 95.2, 2.2625, 5, 403, 14.7, 330.04, 11.32
2071, 28, 3549, -71.081000, 42.236800, 17.4, 17.4, 1.20742, 0.0, 19.58, 0, 0.605, 5.875, 94.6, 2.4259, 5, 403, 14.7, 292.29, 14.43
2072, 28, 3550, -71.079200, 42.239000, 19.1, 19.1, 2.31390, 0.0, 19.58, 0, 0.605, 5.880, 97.3, 2.3887, 5, 403, 14.7, 348.13, 12.03
2073, 29, 3561, -71.087000, 42.241600, 23.1, 23.1, 0.13914, 0.0, 4.05, 0, 0.51, 5.572, 88.5, 2.5961, 5, 296, 16.6, 396.90, 14.69
2074, 29, 3562, -71.085500, 42.245000, 23.6, 23.6, 0.09178, 0.0, 4.05, 0, 0.51, 6.416, 84.1, 2.6463, 5, 296, 16.6, 395.50, 9.04
2075, 29, 3563, -71.083300, 42.247500, 22.6, 22.6, 0.08447, 0.0, 4.05, 0, 0.51, 5.859, 68.7, 2.7019, 5, 296, 16.6, 393.23, 9.64
2076, 29, 3564, -71.094000, 42.257500, 29.4, 29.4, 0.06664, 0.0, 4.05, 0, 0.51, 6.546, 33.1, 3.1323, 5, 296, 16.6, 390.96, 5.33
2077, 29, 3565, -71.112500, 42.255000, 23.2, 23.2, 0.07022, 0.0, 4.05, 0, 0.51, 6.020, 47.2, 3.5549, 5, 296, 16.6, 393.23, 10.11
2078, 29, 3566, -71.106000, 42.251200, 24.6, 24.6, 0.05425, 0.0, 4.05, 0, 0.51, 6.315, 73.4, 3.3175, 5, 296, 16.6, 395.60, 6.29
2079, 29, 3567, -71.096500, 42.247000, 29.9, 29.9, 0.06642, 0.0, 4.05, 0, 0.51, 6.860, 74.4, 2.9153, 5, 296, 16.6, 391.27, 6.92
2080, 30, 3571, -71.100000, 42.240800, 37.2, 37.2, 0.05780, 0.0, 2.46, 0, 0.488, 6.980, 58.4, 2.8290, 3, 193, 17.8, 396.90, 5.04
2081, 30, 3572, -71.099500, 42.234500, 39.8, 39.8, 0.06588, 0.0, 2.46, 0, 0.488, 7.765, 83.3, 2.7410, 3, 193, 17.8, 395.56, 7.56
2082, 30, 3573, -71.096600, 42.228200, 36.2, 36.2, 0.06888, 0.0, 2.46, 0, 0.488, 6.144, 62.2, 2.5979, 3, 193, 17.8, 396.90, 9.45
2083, 30, 3574, -71.100500, 42.228700, 37.9, 37.9, 0.09103, 0.0, 2.46, 0, 0.488, 7.155, 92.2, 2.7006, 3, 193, 17.8, 394.12, 4.82
2084, 30, 3575, -71.106500, 42.230000, 32.5, 32.5, 0.10008, 0.0, 2.46, 0, 0.488, 6.563, 95.6, 2.8470, 3, 193, 17.8, 396.90, 5.68
2085, 30, 3576, -71.112000, 42.230000, 26.4, 26.4, 0.08308, 0.0, 2.46, 0, 0.488, 5.604, 89.8, 2.9879, 3, 193, 17.8, 391.00, 13.98
2086, 30, 3577, -71.117500, 42.235000, 29.6, 29.6, 0.06047, 0.0, 2.46, 0, 0.488, 6.153, 68.8, 3.2797, 3, 193, 17.8, 387.11, 13.15
2087, 30, 3578, -71.111500, 42.244200, 50.0, 50.0, 0.05602, 0.0, 2.46, 0, 0.488, 7.831, 53.6, 3.1992, 3, 193, 17.8, 392.63, 4.45
2088, 31, 3581, -71.122000, 42.256500, 32.0, 32.0, 0.07875, 45.0, 3.44, 0, 0.437, 6.782, 41.1, 3.7886, 5, 398, 15.2, 393.87, 6.68
2089, 31, 3583, -71.140800, 42.255000, 29.8, 29.8, 0.12579, 45.0, 3.44, 0, 0.437, 6.556, 29.1, 4.5667, 5, 398, 15.2, 382.84, 4.56
2090, 31, 3584, -71.145000, 42.265100, 34.9, 34.9, 0.08370, 45.0, 3.44, 0, 0.437, 7.185, 38.9, 4.5667, 5, 398, 15.2, 396.90, 5.39
2091, 31, 3585, -71.121600, 42.270000, 37.0, 33.0, 0.09068, 45.0, 3.44, 0, 0.437, 6.951, 21.5, 6.4798, 5, 398, 15.2, 377.68, 5.10
2092, 31, 3586, -71.148500, 42.276500, 30.5, 30.5, 0.06911, 45.0, 3.44, 0, 0.437, 6.739, 30.8, 6.4798, 5, 398, 15.2, 389.71, 4.69
2093, 31, 3587, -71.134000, 42.278500, 36.4, 36.4, 0.08664, 45.0, 3.44, 0, 0.437, 7.178, 26.3, 6.4798, 5, 398, 15.2, 390.49, 2.87
2094, 32, 3591, -71.152500, 42.300000, 31.1, 31.1, 0.02187, 60.0, 2.93, 0, 0.401, 6.800, 9.9, 6.2196, 1, 265, 15.6, 393.37, 5.03
2095, 32, 3592, -71.163300, 42.303000, 29.1, 29.1, 0.01439, 60.0, 2.93, 0, 0.401, 6.604, 18.8, 6.2196, 1, 265, 15.6, 376.70, 4.38
2096, 33, 3602, -71.189000, 42.252500, 50.0, 50.0, 0.01381, 80.0, 0.46, 0, 0.422, 7.875, 32.0, 5.6484, 4, 255, 14.4, 394.23, 2.97
2097, 34, 3611, -71.220000, 42.271500, 33.3, 33.3, 0.04011, 80.0, 1.52, 0, 0.404, 7.287, 34.1, 7.3090, 2, 329, 12.6, 396.90, 4.08
2098, 34, 3612, -71.240000, 42.272500, 30.3, 30.3, 0.04666, 80.0, 1.52, 0, 0.404, 7.107, 36.6, 7.3090, 2, 329, 12.6, 354.31, 8.61
2099, 34, 3613, -71.222000, 42.289000, 34.6, 34.6, 0.03768, 80.0, 1.52, 0, 0.404, 7.274, 38.3, 7.3090, 2, 329, 12.6, 392.20, 6.62
2100, 35, 3651, -71.244000, 42.242500, 34.9, 34.9, 0.03150, 95.0, 1.47, 0, 0.403, 6.975, 15.3, 7.6534, 3, 402, 17.0, 396.90, 4.56
2101, 35, 3652, -71.263000, 42.222500, 32.9, 32.9, 0.01778, 95.0, 1.47, 0, 0.403, 7.135, 13.9, 7.6534, 3, 402, 17.0, 384.30, 4.45
2102, 36, 3661, -71.218500, 42.195500, 24.1, 24.1, 0.03445, 82.5, 2.03, 0, 0.415, 6.162, 38.4, 6.2700, 2, 348, 14.7, 393.77, 7.43
2103, 36, 3662, -71.214000, 42.218000, 42.3, 42.3, 0.02177, 82.5, 2.03, 0, 0.415, 7.610, 15.7, 6.2700, 2, 348, 14.7, 395.38, 3.11
2104, 37, 3671, -71.199000, 42.232000, 48.5, 48.5, 0.03510, 95.0, 2.68, 0, 0.4161, 7.853, 33.2, 5.1180, 4, 224, 14.7, 392.78, 3.81
2105, 37, 3672, -71.199000, 42.205800, 50.0, 50.0, 0.02009, 95.0, 2.68, 0, 0.4161, 8.034, 31.9, 5.1180, 4, 224, 14.7, 390.55, 2.88
2106, 38, 3681, -71.147500, 42.244500, 22.6, 22.6, 0.13642, 0.0, 10.59, 0, 0.489, 5.891, 22.3, 3.9454, 4, 277, 18.6, 396.90, 10.87
2107, 38, 3682, -71.150000, 42.230800, 24.4, 24.4, 0.22969, 0.0, 10.59, 0, 0.489, 6.326, 52.5, 4.3549, 4, 277, 18.6, 394.87, 10.97
2108, 38, 3683, -71.149000, 42.226800, 22.5, 22.5, 0.25199, 0.0, 10.59, 0, 0.489, 5.783, 72.7, 4.3549, 4, 277, 18.6, 389.43, 18.06
2109, 38, 3684, -71.150300, 42.222000, 24.4, 24.4, 0.13587, 0.0, 10.59, 1, 0.489, 6.064, 59.1, 4.2392, 4, 277, 18.6, 381.32, 14.66
2110, 38, 3685, -71.143000, 42.221700, 20.0, 20.0, 0.43571, 0.0, 10.59, 1, 0.489, 5.344, 100.0, 3.8750, 4, 277, 18.6, 396.90, 23.09
2111, 38, 3686, -71.143500, 42.217700, 21.7, 21.7, 0.17446, 0.0, 10.59, 1, 0.489, 5.960, 92.1, 3.8771, 4, 277, 18.6, 393.25, 17.27
2112, 38, 3687, -71.138000, 42.221600, 19.3, 19.3, 0.37578, 0.0, 10.59, 1, 0.489, 5.404, 88.6, 3.6650, 4, 277, 18.6, 395.24, 23.98
2113, 38, 3688, -71.133500, 42.225000, 22.4, 22.4, 0.21719, 0.0, 10.59, 1, 0.489, 5.807, 53.8, 3.6526, 4, 277, 18.6, 390.94, 16.03
2114, 38, 3689, -71.137500, 42.235500, 28.1, 28.1, 0.14052, 0.0, 10.59, 0, 0.489, 6.375, 32.3, 3.9454, 4, 277, 18.6, 385.81, 9.38
2115, 38, 3690, -71.127000, 42.235000, 23.7, 23.7, 0.28955, 0.0, 10.59, 0, 0.489, 5.412, 9.8, 3.5875, 4, 277, 18.6, 348.93, 29.55
2116, 38, 3691, -71.124500, 42.227700, 25.0, 25.0, 0.19802, 0.0, 10.59, 0, 0.489, 6.182, 42.4, 3.9454, 4, 277, 18.6, 393.63, 9.47
2117, 39, 3701, -71.116600, 42.223000, 23.3, 23.3, 0.04560, 0.0, 13.89, 1, 0.55, 5.888, 56.0, 3.1121, 5, 276, 16.4, 392.80, 13.51
2118, 39, 3702, -71.105000, 42.223500, 28.7, 28.7, 0.07013, 0.0, 13.89, 0, 0.55, 6.642, 85.1, 3.4211, 5, 276, 16.4, 392.78, 9.69
2119, 39, 3703, -71.093300, 42.222000, 21.5, 21.5, 0.11069, 0.0, 13.89, 1, 0.55, 5.951, 93.8, 2.8893, 5, 276, 16.4, 396.90, 17.92
2120, 39, 3704, -71.106000, 42.218500, 23.0, 23.0, 0.11425, 0.0, 13.89, 1, 0.55, 6.373, 92.4, 3.3633, 5, 276, 16.4, 393.74, 10.50
2121, 40, 3731, -71.110000, 42.213700, 26.7, 26.7, 0.35809, 0.0, 6.2, 1, 0.507, 6.951, 88.5, 2.8617, 8, 307, 17.4, 391.70, 9.71
2122, 40, 3732, -71.121000, 42.216600, 21.7, 21.7, 0.40771, 0.0, 6.2, 1, 0.507, 6.164, 91.3, 3.0480, 8, 307, 17.4, 395.24, 21.46
2123, 40, 3733, -71.125000, 42.213400, 27.5, 27.5, 0.62356, 0.0, 6.2, 1, 0.507, 6.879, 77.7, 3.2721, 8, 307, 17.4, 390.39, 9.93
2124, 40, 3734, -71.120800, 42.218300, 30.1, 30.1, 0.61470, 0.0, 6.2, 0, 0.507, 6.618, 80.8, 3.2721, 8, 307, 17.4, 396.90, 7.60
2125, 40, 3735, -71.110000, 42.206000, 44.8, 44.8, 0.31533, 0.0, 6.2, 0, 0.504, 8.266, 78.3, 2.8944, 8, 307, 17.4, 385.05, 4.14
2126, 40, 3736, -71.101200, 42.197500, 50.0, 50.0, 0.52693, 0.0, 6.2, 0, 0.504, 8.725, 83.0, 2.8944, 8, 307, 17.4, 382.00, 4.63
2127, 40, 3737, -71.121500, 42.202500, 37.6, 37.6, 0.38214, 0.0, 6.2, 0, 0.504, 8.040, 86.5, 3.2157, 8, 307, 17.4, 387.38, 3.13
2128, 40, 3738, -71.116000, 42.194700, 31.6, 31.6, 0.41238, 0.0, 6.2, 0, 0.504, 7.163, 79.9, 3.2157, 8, 307, 17.4, 372.08, 6.36
2129, 40, 3739, -71.110000, 42.185000, 46.7, 46.7, 0.29819, 0.0, 6.2, 0, 0.504, 7.686, 17.0, 3.3751, 8, 307, 17.4, 377.51, 3.92
2130, 40, 3740, -71.119000, 42.180700, 31.5, 31.5, 0.44178, 0.0, 6.2, 0, 0.504, 6.552, 21.4, 3.3751, 8, 307, 17.4, 380.34, 3.76
2131, 40, 3741, -71.130000, 42.188000, 24.3, 24.3, 0.53700, 0.0, 6.2, 0, 0.504, 5.981, 68.1, 3.6715, 8, 307, 17.4, 378.35, 11.65
2132, 40, 3742, -71.128500, 42.193000, 31.7, 31.7, 0.46296, 0.0, 6.2, 0, 0.504, 7.412, 76.9, 3.6715, 8, 307, 17.4, 376.14, 5.25
2133, 40, 3743, -71.140000, 42.194600, 41.7, 41.7, 0.57529, 0.0, 6.2, 0, 0.507, 8.337, 73.3, 3.8384, 8, 307, 17.4, 385.91, 2.47
2134, 40, 3744, -71.134000, 42.204000, 48.3, 48.3, 0.33147, 0.0, 6.2, 0, 0.507, 8.247, 70.4, 3.6519, 8, 307, 17.4, 378.95, 3.95
2135, 40, 3745, -71.132000, 42.214200, 29.0, 29.0, 0.44791, 0.0, 6.2, 1, 0.507, 6.726, 66.5, 3.6519, 8, 307, 17.4, 360.20, 8.05
2136, 40, 3746, -71.138000, 42.214100, 24.0, 24.0, 0.33045, 0.0, 6.2, 0, 0.507, 6.086, 61.5, 3.6519, 8, 307, 17.4, 376.75, 10.88
2137, 40, 3747, -71.148500, 42.211000, 25.1, 25.1, 0.52058, 0.0, 6.2, 1, 0.507, 6.631, 76.5, 4.1480, 8, 307, 17.4, 388.45, 9.54
2138, 40, 3748, -71.149100, 42.203000, 31.5, 31.5, 0.51183, 0.0, 6.2, 0, 0.507, 7.358, 71.6, 4.1480, 8, 307, 17.4, 390.07, 4.73
2139, 41, 3821, -71.205500, 42.187500, 23.7, 23.7, 0.08244, 30.0, 4.93, 0, 0.428, 6.481, 18.5, 6.1899, 6, 300, 16.6, 379.41, 6.36
2140, 41, 3822, -71.203500, 42.187000, 23.3, 23.3, 0.09252, 30.0, 4.93, 0, 0.428, 6.606, 42.2, 6.1899, 6, 300, 16.6, 383.78, 7.37
2141, 41, 3823, -71.196600, 42.164000, 22.0, 27.0, 0.11329, 30.0, 4.93, 0, 0.428, 6.897, 54.3, 6.3361, 6, 300, 16.6, 391.25, 11.38
2142, 41, 3824, -71.213800, 42.164500, 20.1, 20.1, 0.10612, 30.0, 4.93, 0, 0.428, 6.095, 65.1, 6.3361, 6, 300, 16.6, 394.62, 12.40
2143, 41, 3825, -71.220000, 42.178200, 22.2, 22.2, 0.10290, 30.0, 4.93, 0, 0.428, 6.358, 52.9, 7.0355, 6, 300, 16.6, 372.75, 11.22
2144, 41, 3826, -71.232000, 42.172500, 23.7, 23.7, 0.12757, 30.0, 4.93, 0, 0.428, 6.393, 7.8, 7.0355, 6, 300, 16.6, 374.71, 5.19
2145, 42, 3831, -71.243500, 42.163000, 17.6, 17.6, 0.20608, 22.0, 5.86, 0, 0.431, 5.593, 76.5, 7.9549, 7, 330, 19.1, 372.49, 12.50
2146, 42, 3832, -71.257500, 42.161800, 18.5, 18.5, 0.19133, 22.0, 5.86, 0, 0.431, 5.605, 70.2, 7.9549, 7, 330, 19.1, 389.13, 18.46
2147, 42, 3833, -71.262000, 42.169000, 24.3, 24.3, 0.33983, 22.0, 5.86, 0, 0.431, 6.108, 34.9, 8.0555, 7, 330, 19.1, 390.18, 9.16
2148, 42, 3834, -71.247000, 42.170300, 20.5, 20.5, 0.19657, 22.0, 5.86, 0, 0.431, 6.226, 79.2, 8.0555, 7, 330, 19.1, 376.14, 10.15
2149, 42, 3835, -71.255000, 42.176700, 24.5, 24.5, 0.16439, 22.0, 5.86, 0, 0.431, 6.433, 49.1, 7.8265, 7, 330, 19.1, 374.71, 9.52
2150, 42, 3836, -71.247500, 42.182500, 26.2, 26.2, 0.19073, 22.0, 5.86, 0, 0.431, 6.718, 17.5, 7.8265, 7, 330, 19.1, 393.74, 6.56
2151, 42, 3837, -71.238000, 42.191000, 24.4, 24.4, 0.14030, 22.0, 5.86, 0, 0.431, 6.487, 13.0, 7.3967, 7, 330, 19.1, 396.28, 5.90
2152, 42, 3838, -71.243500, 42.198200, 24.8, 24.8, 0.21409, 22.0, 5.86, 0, 0.431, 6.438, 8.9, 7.3967, 7, 330, 19.1, 377.07, 3.59
2153, 42, 3839, -71.268500, 42.193500, 29.6, 29.6, 0.08221, 22.0, 5.86, 0, 0.431, 6.957, 6.8, 8.9067, 7, 330, 19.1, 386.09, 3.53
2154, 42, 3840, -71.280700, 42.172700, 42.8, 42.8, 0.36894, 22.0, 5.86, 0, 0.431, 8.259, 8.4, 8.9067, 7, 330, 19.1, 396.90, 3.54
2155, 43, 3851, -71.289500, 42.157500, 21.9, 21.9, 0.04819, 80.0, 3.64, 0, 0.392, 6.108, 32.0, 9.2203, 1, 315, 16.4, 392.89, 6.57
2156, 43, 3852, -71.269000, 42.148200, 20.9, 20.9, 0.03548, 80.0, 3.64, 0, 0.392, 5.876, 19.1, 9.2203, 1, 315, 16.4, 395.18, 9.25
2157, 44, 3861, -71.223000, 42.145000, 44.0, 44.0, 0.01538, 90.0, 3.75, 0, 0.394, 7.454, 34.2, 6.3361, 3, 244, 15.9, 386.34, 3.11
2158, 45, 4001, -71.067900, 42.207300, 50.0, 50.0, 0.61154, 20.0, 3.97, 0, 0.647, 8.704, 86.9, 1.8010, 5, 264, 13.0, 389.70, 5.12
2159, 45, 4002, -71.072700, 42.207700, 36.0, 36.0, 0.66351, 20.0, 3.97, 0, 0.647, 7.333, 100.0, 1.8946, 5, 264, 13.0, 383.29, 7.79
